,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime
0,LVOV,True,Lviv,Ukraine,https://content.skyscnr.com/49f5362bdb8c366185ff467cb991350d/GettyImages-515245753.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/lviv-holidays/cia-27544204,27.0,22,/hotels/search?entity_id=27544204&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T20:33:00,2021-11-11T16:31:00
1,KIEV,True,Kyiv,Ukraine,https://content.skyscnr.com/e23a9b4c457f75b1eb59f55e6f417854/GettyImages-465324045.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/kyiv-holidays/cia-27542803,27.0,32,/hotels/search?entity_id=27542803&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T18:23:00,2021-11-13T00:05:00
2,KHAR,False,Kharkiv,Ukraine,https://content.skyscnr.com/53d8f7dc24300e14d8bfa1200a98a240/GettyImages-106579726.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/kharkiv-holidays/cia-27542708,,0,/hotels/search?entity_id=27542708&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,
3,ODES,True,Odesa,Ukraine,https://content.skyscnr.com/f1fc3926a461847759b4b110a4e832b2/GettyImages-500946307.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/odesa-holidays/cia-27545196,32.0,59,/hotels/search?entity_id=27545196&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T20:24:00,2021-11-12T23:51:00
4,DNEP,False,Dnipro,Ukraine,https://content.skyscnr.com/9886d4209b2f23555d7e167a9783bc36/eyeem-26050322-81437773.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/dnipro-holidays/cia-27540775,,190,/hotels/search?entity_id=27540775&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T11:14:00,
