,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime
0,TIMI,True,Timisoara,Romania,https://content.skyscnr.com/3dfad1e0f554d5cac84b35c67b8a0f77/GettyImages-475163356.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/timisoara-holidays/cia-27547261,56.0,48.0,/hotels/search?entity_id=27547261&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T09:41:00,2021-11-13T14:59:00
1,BUCH,True,Bucharest,Romania,https://content.skyscnr.com/21a5bafbc460dc1a5993454ff952bbd3/GettyImages-476374166.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/bucharest-holidays/cia-27545262,19.0,,/hotels/search?entity_id=27545262&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T23:11:00
2,IASI,True,Iasi,Romania,https://content.skyscnr.com/4897ee326c41f194189be4a10fac9785/GettyImages-508830832.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/iasi-holidays/cia-27542784,39.0,44.0,/hotels/search?entity_id=27542784&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T19:11:00,2021-11-09T17:06:00
3,CLUJ,True,Cluj-Napoca,Romania,https://content.skyscnr.com/e2c4ce717878fc7ea04e0a72d00c023d/GettyImages-502724313.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/cluj-napoca-holidays/cia-27539829,45.0,43.0,/hotels/search?entity_id=27539829&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T14:48:00,2021-11-13T15:01:00
4,SUCE,False,Suceava Salcea,Romania,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/suceava-salcea-holidays/cia-27546282,,40.0,/hotels/search?entity_id=27546282&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T11:17:00,
5,SIBI,True,Sibiu,Romania,https://content.skyscnr.com/dce169877fc4c05c5d0c983d67647467/GettyImages-507292252.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/sibiu-holidays/cia-27546265,21.0,,/hotels/search?entity_id=27546265&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T20:38:00
6,ORAD,False,Oradea,Romania,https://content.skyscnr.com/m/672f559a26876759/Large-eyeem-26694340-137532062.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/oradea-holidays/cia-27545225,,123.0,/hotels/search?entity_id=27545225&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T10:55:00,
7,CRAI,False,Craiova,Romania,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/romania/craiova-holidays/cia-27539911,,140.0,/hotels/search?entity_id=27539911&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T11:52:00,
