,Id,Direct,Name,CountryName,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,HotelPrice,IndirectQuoteDateTime,DirectQuoteDateTime,ImageUrl
0,BILL,True,Billund,Denmark,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/denmark/billund-holidays/cia-27539466,21.0,23,/hotels/search?entity_id=27539466&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,102.0,2021-11-13T06:34:00,2021-11-13T11:28:00,
1,COPE,False,Copenhagen,Denmark,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/denmark/copenhagen-holidays/cia-27539902,,41,/hotels/search?entity_id=27539902&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T13:23:00,,https://content.skyscnr.com/d22c8f93938b699739ba5e9d682019af/GettyImages-474603829.jpg
