,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,HotelPrice,DirectPrice,IndirectQuoteDateTime,DirectQuoteDateTime
0,ATHE,False,Athens,Greece,https://content.skyscnr.com/26babb582bc1d7572fed1877d7f81fa6/GettyImages-181391203.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/athens-holidays/cia-27548174,0,/hotels/search?entity_id=27548174&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,51.0,,,
1,THES,True,Thessaloniki,Greece,https://content.skyscnr.com/c0f3616be7ab932f72a23f3507315f44/GettyImages-162545242.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/thessaloniki-holidays/cia-27546367,28,/hotels/search?entity_id=27546367&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,62.0,20.0,2021-11-09T17:59:00,2021-11-12T08:00:00
2,CRET,False,Crete,Greece,https://content.skyscnr.com/9e0c2b3096d0c8feafac2bf9cc31c501/crete.jpg,,123,/hotels/search?entity_id=81972287&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-13T08:43:00,
3,THIR,False,Santorini (Thira),Greece,https://content.skyscnr.com/b8ee8b55e33d881fb6ee3c139958b35f/GettyImages-484830108.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/santorini-(thira)-holidays/cia-38308884,156,/hotels/search?entity_id=38308884&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T20:33:00,
4,MIKO,False,Mykonos,Greece,https://content.skyscnr.com/0837c6929401ed32ec1a8399768a448d/GettyImages-465970722.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/mykonos-holidays/cia-38304360,180,/hotels/search?entity_id=38304360&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-13T13:04:00,
5,CORF,False,Corfu,Greece,https://content.skyscnr.com/m/184f9cd93cc464eb/Large-GettyImages-486664034.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/corfu-holidays/cia-27539767,181,/hotels/search?entity_id=27539767&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-12T10:08:00,
6,RHOD,False,Rhodes,Greece,https://content.skyscnr.com/820d86000a71983d9be3142eef9520ad/GettyImages-457042629.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/rhodes-holidays/cia-27546162,195,/hotels/search?entity_id=27546162&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T18:26:00,
7,KOSS,False,Kos,Greece,https://content.skyscnr.com/c82b38a5e328ac7475580341be7cb5e3/GettyImages-156518965.jpg,,221,/hotels/search?entity_id=81972444&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T23:07:00,
8,KAVA,False,Kavala,Greece,https://content.skyscnr.com/c27ca0cd1ba8917da772ffd8d3b67a6f/GettyImages-124017135.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/kavala-holidays/cia-27543932,264,/hotels/search?entity_id=27543932&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T21:28:00,
9,PARO,False,Paros,Greece,https://content.skyscnr.com/f394158dda3923def1ccccfed814c955/GettyImages-503221055.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/greece/paros-holidays/cia-27545294,284,/hotels/search?entity_id=27545294&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-12T16:59:00,
