,trace_id,flight,departure_date,price,origin,dest_city_code,timestamp
71,17,BVA_ZAG,2022-08-18,11.0,,,2022-08-06 22:30:00
72,22,ZAG_BEG,2022-08-27,73.0,,,2022-08-06 22:30:00
73,24,ZAG_BEG,2022-08-29,49.0,,,2022-08-06 22:30:00
74,11,ZAG_BEG,2022-08-18,83.0,,,2022-08-06 22:30:00
75,12,ZAG_BEG,2022-08-19,83.0,,,2022-08-06 22:30:00
76,14,ZAG_BEG,2022-08-20,84.0,,,2022-08-06 22:30:00
77,15,ZAG_BEG,2022-08-21,85.0,,,2022-08-06 22:30:00
78,16,ZAG_BEG,2022-08-22,48.0,,,2022-08-06 22:30:00
79,0,ZAG_BEG,2022-08-07,91.0,,,2022-08-06 22:30:00
80,1,ZAG_BEG,2022-08-08,78.0,,,2022-08-06 22:30:00
81,4,ZAG_BEG,2022-08-11,86.0,,,2022-08-06 22:30:00
82,5,ZAG_BEG,2022-08-12,79.0,,,2022-08-06 22:30:00
83,6,ZAG_BEG,2022-08-13,85.0,,,2022-08-06 22:30:00
84,8,ZAG_BEG,2022-08-15,74.0,,,2022-08-06 22:30:00
85,20,ZAG_BEG,2022-08-25,75.0,,,2022-08-06 22:30:00
86,21,ZAG_BEG,2022-08-26,60.0,,,2022-08-06 22:30:00
87,22,BEG_ZAG,2022-08-29,62.0,,,2022-08-06 22:31:00
88,10,BEG_ZAG,2022-08-18,50.0,,,2022-08-06 22:31:00
89,11,BEG_ZAG,2022-08-19,83.0,,,2022-08-06 22:31:00
90,12,BEG_ZAG,2022-08-20,67.0,,,2022-08-06 22:31:00
91,13,BEG_ZAG,2022-08-21,92.0,,,2022-08-06 22:31:00
92,14,BEG_ZAG,2022-08-22,68.0,,,2022-08-06 22:31:00
93,17,BEG_ZAG,2022-08-25,66.0,,,2022-08-06 22:31:00
94,19,BEG_ZAG,2022-08-26,50.0,,,2022-08-06 22:31:00
95,3,BEG_ZAG,2022-08-11,82.0,,,2022-08-06 22:31:00
96,4,BEG_ZAG,2022-08-12,73.0,,,2022-08-06 22:31:00
97,5,BEG_ZAG,2022-08-13,78.0,,,2022-08-06 22:31:00
98,6,BEG_ZAG,2022-08-14,82.0,,,2022-08-06 22:31:00
99,7,BEG_ZAG,2022-08-15,78.0,,,2022-08-06 22:31:00
100,20,BEG_ZAG,2022-08-27,67.0,,,2022-08-06 22:31:00
101,21,BEG_ZAG,2022-08-28,67.0,,,2022-08-06 22:31:00
102,11,ZAG_MMX,2022-08-18,73.0,,,2022-08-06 22:31:00
103,22,ZAG_MMX,2022-08-30,12.0,,,2022-08-06 22:31:00
104,16,ZAG_MMX,2022-08-23,22.0,,,2022-08-06 22:31:00
105,17,ZAG_MMX,2022-08-25,16.0,,,2022-08-06 22:31:00
106,19,ZAG_MMX,2022-08-27,12.0,,,2022-08-06 22:31:00
107,9,ZAG_MMX,2022-08-16,93.0,,,2022-08-06 22:31:00
108,12,MMX_ZAG,2022-08-25,13.0,,,2022-08-06 22:31:00
109,14,MMX_ZAG,2022-08-27,25.0,,,2022-08-06 22:31:00
110,16,MMX_ZAG,2022-08-30,13.0,,,2022-08-06 22:31:00
111,1,MMX_ZAG,2022-08-09,27.0,,,2022-08-06 22:31:00
112,3,MMX_ZAG,2022-08-11,11.0,,,2022-08-06 22:31:00
113,4,MMX_ZAG,2022-08-16,13.0,,,2022-08-06 22:31:00
114,6,MMX_ZAG,2022-08-18,11.0,,,2022-08-06 22:31:00
115,8,MMX_ZAG,2022-08-20,13.0,,,2022-08-06 22:31:00
116,10,MMX_ZAG,2022-08-23,11.0,,,2022-08-06 22:31:00
117,22,ZAG_GOT,2022-08-29,22.0,,,2022-08-06 22:31:00
118,24,ZAG_GOT,2022-08-31,31.0,,,2022-08-06 22:31:00
119,15,ZAG_GOT,2022-08-22,66.0,,,2022-08-06 22:31:00
120,17,ZAG_GOT,2022-08-24,25.0,,,2022-08-06 22:31:00
121,19,ZAG_GOT,2022-08-26,31.0,,,2022-08-06 22:31:00
122,12,GOT_ZAG,2022-08-24,20.0,,,2022-08-06 22:31:00
123,14,GOT_ZAG,2022-08-26,13.0,,,2022-08-06 22:31:00
124,17,GOT_ZAG,2022-08-29,22.0,,,2022-08-06 22:31:00
125,18,GOT_ZAG,2022-08-31,31.0,,,2022-08-06 22:31:00
126,0,GOT_ZAG,2022-08-08,38.0,,,2022-08-06 22:31:00
127,4,GOT_ZAG,2022-08-12,20.0,,,2022-08-06 22:31:00
128,7,GOT_ZAG,2022-08-15,20.0,,,2022-08-06 22:31:00
129,9,GOT_ZAG,2022-08-17,13.0,,,2022-08-06 22:31:00
130,10,GOT_ZAG,2022-08-19,31.0,,,2022-08-06 22:31:00
131,28,ZAG_ATH,2022-08-31,86.0,,,2022-08-06 22:31:00
132,10,ZAG_ATH,2022-08-17,93.0,,,2022-08-06 22:31:00
133,25,ATH_ZAG,2022-08-31,93.0,,,2022-08-06 22:31:00
134,12,ZAG_SKG,2022-08-21,13.0,,,2022-08-06 22:31:00
135,16,ZAG_SKG,2022-08-25,13.0,,,2022-08-06 22:31:00
136,19,ZAG_SKG,2022-08-28,13.0,,,2022-08-06 22:31:00
137,3,ZAG_SKG,2022-08-11,79.0,,,2022-08-06 22:31:00
138,5,ZAG_SKG,2022-08-14,53.0,,,2022-08-06 22:31:00
139,9,ZAG_SKG,2022-08-18,18.0,,,2022-08-06 22:31:00
140,6,SKG_ZAG,2022-08-14,79.0,,,2022-08-06 22:31:00
141,20,SKG_ZAG,2022-08-28,87.0,,,2022-08-06 22:31:00
142,10,SKG_ZAG,2022-08-18,93.0,,,2022-08-06 22:31:00
143,14,ZAG_CFU,2022-08-23,18.0,,,2022-08-06 22:31:00
144,18,ZAG_CFU,2022-08-30,20.0,,,2022-08-06 22:31:00
145,2,ZAG_CFU,2022-08-09,60.0,,,2022-08-06 22:31:00
146,8,ZAG_CFU,2022-08-16,71.0,,,2022-08-06 22:31:00
147,13,CFU_ZAG,2022-08-23,44.0,,,2022-08-06 22:32:00
148,19,CFU_ZAG,2022-08-30,68.0,,,2022-08-06 22:32:00
149,1,CFU_ZAG,2022-08-09,80.0,,,2022-08-06 22:32:00
150,7,CFU_ZAG,2022-08-16,38.0,,,2022-08-06 22:32:00
151,21,ZAG_LIS,2022-08-24,98.0,,,2022-08-06 22:32:00
152,23,ZAG_SJJ,2022-08-28,96.0,,,2022-08-06 22:32:00
153,25,ZAG_SJJ,2022-08-30,98.0,,,2022-08-06 22:32:00
154,27,ZAG_SJJ,2022-08-31,95.0,,,2022-08-06 22:32:00
155,20,ZAG_SJJ,2022-08-25,90.0,,,2022-08-06 22:32:00
156,23,SJJ_ZAG,2022-08-28,99.0,,,2022-08-06 22:32:00
157,24,SJJ_ZAG,2022-08-29,93.0,,,2022-08-06 22:32:00
158,21,SJJ_ZAG,2022-08-26,93.0,,,2022-08-06 22:32:00
159,11,ZAG_FKB,2022-08-18,11.0,,,2022-08-06 22:32:00
160,22,ZAG_FKB,2022-08-30,31.0,,,2022-08-06 22:32:00
161,12,ZAG_FKB,2022-08-20,82.0,,,2022-08-06 22:32:00
