Id,CityName,CountryName,CountyCode,ImageUrl,lat,lon
LOUR,Lourdes,France,FR,https://content.skyscnr.com/c49d48ddea20005a810a7f857e32ece4/GettyImages-152055513.jpg,43.096765000000005,-0.045491000000000004
PERP,Perpignan,France,FR,https://content.skyscnr.com/719f78547635dce1579052a259f0ad87/GettyImages-507685595.jpg,42.696748,2.893311
NICE,Nice,France,FR,https://content.skyscnr.com/m/2bdff4db01b0769f/original/GettyImages-467077004.jpg,43.713667,7.264625
NIME,Nimes,France,FR,,43.83294,4.351746
LILL,Lille,France,FR,https://content.skyscnr.com/8c9f4b43f6d11ee747a9ebb19589f246/GettyImages-177530843.jpg,50.632785999999996,3.059524
LYON,Lyon,France,FR,https://content.skyscnr.com/27326e6ca8b8ed01ebf7ed992dda6089/GettyImages-181391682.jpg,45.732397999999996,4.835571
MONT,Montpellier,France,FR,https://content.skyscnr.com/988a463f5a2a068e21ce3f9d8050264d/GettyImages-177095218.jpg,43.614719,3.864104
STRA,Strasbourg,France,FR,https://content.skyscnr.com/b619123e0cbe0a7740d81e8416984dd6/GettyImages-178610880.jpg,48.570721,7.758374000000001
RENN,Rennes,France,FR,https://content.skyscnr.com/25b7e852958850d3f07b70c904e23cb7/GettyImages-166748171.jpg,48.110805,-1.665857
TOUL,Toulon,France,FR,https://content.skyscnr.com/fff2b913f5bf8629fe16907e8985fa93/GettyImages-506398503.jpg,43.122765,5.944017
BRES,Brest,France,FR,https://content.skyscnr.com/2dabfc334014fc7d05bb4ad1660c5e1a/GettyImages-531440393.jpg,48.404244,-4.484974
BERG,Bergerac,France,FR,https://content.skyscnr.com/a7c7028bae974071d30f03f3022edaaa/GettyImages-515908505.jpg,44.851803000000004,0.47825200000000007
CASU,Castres Mazamet,France,FR,,43.610098,2.247864
BAST,Bastia - Corsica,France,FR,https://content.skyscnr.com/9759c6904eb12326fd4df94612f1b6b0/gettyimages-528241837-crop.jpg,42.703379,9.448058
AJAC,Ajaccio,France,FR,https://content.skyscnr.com/00e9ed4c291aded245d2a224985cc4bf/GettyImages-157166404.jpg,41.926997,8.735367
CAEN,Caen,France,FR,https://content.skyscnr.com/bc358c114e497bf84cef0aa448ec64f2/GettyImages-514325529.jpg,49.191955,-0.37253400000000003
AURI,Aurillac Tronquiere,France,FR,,44.914572,2.431326
MULH,Mulhouse,France,FR,https://content.skyscnr.com/04c703bc46b3b596ef99790ac9a21e24/eyeem-26694340-110694229.jpg,47.750059,7.330118
FIGA,Figari,France,FR,,41.488735,9.127891
RODE,Rodez,France,FR,,44.359094,2.573531
ATHE,Athens,Greece,GR,https://content.skyscnr.com/26babb582bc1d7572fed1877d7f81fa6/GettyImages-181391203.jpg,37.988579,23.728541
THES,Thessaloniki,Greece,GR,https://content.skyscnr.com/c0f3616be7ab932f72a23f3507315f44/GettyImages-162545242.jpg,40.656484999999996,22.937343
CRET,Crete,Greece,GR,https://content.skyscnr.com/9e0c2b3096d0c8feafac2bf9cc31c501/crete.jpg,35.17559,24.944635
CHIO,Chios,Greece,GR,,38.363876,26.13736
MIKO,Mykonos,Greece,GR,https://content.skyscnr.com/0837c6929401ed32ec1a8399768a448d/GettyImages-465970722.jpg,37.444334999999995,25.328636
THIR,Santorini (Thira),Greece,GR,https://content.skyscnr.com/b8ee8b55e33d881fb6ee3c139958b35f/GettyImages-484830108.jpg,36.39963,25.42081
RHOD,Rhodes,Greece,GR,https://content.skyscnr.com/820d86000a71983d9be3142eef9520ad/GettyImages-457042629.jpg,36.437235,28.218121999999997
KAVA,Kavala,Greece,GR,https://content.skyscnr.com/c27ca0cd1ba8917da772ffd8d3b67a6f/GettyImages-124017135.jpg,40.945741999999996,24.405788
KOSS,Kos,Greece,GR,https://content.skyscnr.com/c82b38a5e328ac7475580341be7cb5e3/GettyImages-156518965.jpg,36.892462,27.286988
PARO,Paros,Greece,GR,https://content.skyscnr.com/f394158dda3923def1ccccfed814c955/GettyImages-503221055.jpg,37.08333,25.15
BUDA,Budapest,Hungary,HU,https://content.skyscnr.com/1326f876f67413db59cc34a466945260/GettyImages-493113190.jpg,47.516581,19.092281
COMI,Comiso,Italy,IT,https://content.skyscnr.com/m/42b54af554dee665/original/eyeem-26694340-128610118.jpg,36.950732,14.605945000000002
TRIE,Trieste,Italy,IT,https://content.skyscnr.com/153de701476d5bc8cd228c85955e4a8d/GettyImages-484950503.jpg,45.630313,13.795789000000001
PANT,Pantelleria,Italy,IT,https://content.skyscnr.com/f244f64185e49fa4260d27deb61b6827/eyeem-26694340-73729802.jpg,36.831565000000005,11.941313000000001
PARM,Parma,Italy,IT,https://content.skyscnr.com/284276e195c4e6c78deb70fc9257aa35/GettyImages-93000209.jpg,44.802328,10.32536
KAUN,Kaunas,Lithuania,LT,https://content.skyscnr.com/11c82dd482238cc5d533d1dd645effd3/GettyImages-483258556.jpg,54.896296,23.921860000000002
VILN,Vilnius,Lithuania,LT,https://content.skyscnr.com/m/64cb431e1f5682c3/original/590266991.jpg,54.700902,25.251531
RIGA,Riga,Latvia,LV,https://content.skyscnr.com/de54d44c70db4a743503a0914ad532b8/GettyImages-492496777.jpg,56.971149,24.142749
RABA,Rabat,Morocco,MA,https://content.skyscnr.com/6d10c1e96a107d179cab64377ec2435f/GettyImages-469219906.jpg,34.01325,-6.83255
AGAD,Agadir,Morocco,MA,https://content.skyscnr.com/46e741936ce121783af405dd8a6b601c/GettyImages-520507803.jpg,30.439988,-9.620044
TETU,Tetuan S. Ramel,Morocco,MA,https://content.skyscnr.com/b9589377c78e2e513b33fa6ae0472af8/Tetuan%20S.%20Ramel-GettyImages-514559425.jpg,30.288590000000003,-9.12438
FEZS,Fes,Morocco,MA,https://content.skyscnr.com/4b19700352746a7fb855fe958141736f/GettyImages-484651575.jpg,34.03715,-4.9998
NADO,Nador,Morocco,MA,,35.16813,-2.93352
ESSA,Essaouira,Morocco,MA,https://content.skyscnr.com/6b88e5f167d63f4b309457f46d82895c/GettyImages-173259798.jpg,31.5125,-9.77
TANG,Tangier,Morocco,MA,https://content.skyscnr.com/0ba2fba9393a4207b20e607be32a7c46/GettyImages-508375894.jpg,35.76727,-5.79975
