,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime
0,KRSA,False,Kristiansand,Norway,https://content.skyscnr.com/9211a594a73aa6adfd9e706b815dba65/GettyImages-186993260.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/norway/kristiansand-holidays/cia-27543800,0,/hotels/search?entity_id=27543800&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
1,BERI,False,Bergen,Norway,https://content.skyscnr.com/c851539886e55f6f1de26df6d8ba1bb3/GettyImages-484013382.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/norway/bergen-holidays/cia-27538759,115,/hotels/search?entity_id=27538759&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T21:28:00,,
2,OSLO,True,Oslo,Norway,https://content.skyscnr.com/8ab21fe9e704f373e61689e635e63c60/GettyImages-498373538.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/norway/oslo-holidays/cia-27538634,23,/hotels/search?entity_id=27538634&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T09:12:00,11.0,2021-11-11T01:45:00
3,AALE,False,Aalesund Vigra,Norway,https://content.skyscnr.com/6f92d177b5e31148b599ea1b0abe6571/GettyImages-508469515.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/norway/aalesund-vigra-holidays/cia-81977150,0,/hotels/search?entity_id=81977150&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
4,TROM,False,Tromso,Norway,https://content.skyscnr.com/ecf5084c18396b8f5244dd8849052b3f/GettyImages-161370212.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/norway/tromso-holidays/cia-27547233,142,/hotels/search?entity_id=27547233&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T20:59:00,,
5,TRON,False,Trondheim,Norway,https://content.skyscnr.com/345539ac430cca72a8e4c2315754376e/GettyImages-487809079.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/norway/trondheim-holidays/cia-27547242,92,/hotels/search?entity_id=27547242&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T05:37:00,,
6,STAV,False,Stavanger,Norway,https://content.skyscnr.com/4a4687a5f09e7898785008773ff879c8/GettyImages-495277105.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/norway/stavanger-holidays/cia-27546397,0,/hotels/search?entity_id=27546397&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
