,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,DirectPrice,IndirectQuoteDateTime,DirectQuoteDateTime,HotelPrice
0,CATA,False,Catania,Italy,https://content.skyscnr.com/551ee1c8b7ed734978a498dc05f85d83/GettyImages-467692542.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/catania-holidays/cia-27540562,0,/hotels/search?entity_id=27540562&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
1,ROME,True,Rome,Italy,https://content.skyscnr.com/562fb1d3b394e92393671562fe241138/stock-photo-st-peter-s-basilica-83184691.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/rome-holidays/cia-27539793,23,/hotels/search?entity_id=27539793&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,32.0,2021-11-10T14:46:00,2021-11-11T19:01:00,
2,BRIN,False,Brindisi,Italy,https://content.skyscnr.com/f7f059e28e04b44737f527b459f8d638/GettyImages-490477064.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/brindisi-holidays/cia-27538714,0,/hotels/search?entity_id=27538714&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
3,TURI,False,Turin,Italy,https://content.skyscnr.com/8b7a06603efcb6bdde92edd3751784ec/GettyImages-480512869.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/turin-holidays/cia-27547248,206,/hotels/search?entity_id=27547248&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T12:02:00,,
4,VENI,False,Venice,Italy,https://content.skyscnr.com/2a72a6087b8bee22ab2c798e61bee6fe/venice.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/venice-holidays/cia-27547373,0,/hotels/search?entity_id=27547373&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,69.0
5,FLOR,False,Florence,Italy,https://content.skyscnr.com/398b1bf0c98990f64bdedfb03cb9c6ae/florence.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/florence-holidays/cia-27541640,217,/hotels/search?entity_id=27541640&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T00:21:00,,
6,NAPL,False,Naples,Italy,https://content.skyscnr.com/m/0f141bf76cf06068/Large-napl_139999980_doc.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/naples-holidays/cia-27545086,37,/hotels/search?entity_id=27545086&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T02:30:00,,
7,TRAP,False,Trapani,Italy,https://content.skyscnr.com/bc9d50a8707c2a3faf1c430c4973cfe0/eyeem-26693940-126565453.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/trapani-holidays/cia-27547239,0,/hotels/search?entity_id=27547239&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
8,MARA,False,Lamezia Terme,Italy,https://content.skyscnr.com/m/fae19a45fbb9458/original/eyeem-26694340-135367311.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/lamezia-terme-holidays/cia-27546311,0,/hotels/search?entity_id=27546311&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
9,BOLO,False,Bologna,Italy,https://content.skyscnr.com/e0ed7f0c0c4807256fbfb586c7553b41/bologna.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/bologna-holidays/cia-27539470,39,/hotels/search?entity_id=27539470&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T10:47:00,,
10,PESC,False,Pescara,Italy,https://content.skyscnr.com/569befea317cf3979e8b5916fbc7e5cd/GettyImages-529368487.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/pescara-holidays/cia-27546050,0,/hotels/search?entity_id=27546050&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
11,PALE,False,Palermo,Italy,https://content.skyscnr.com/b5b377433a4dd4788bd9a767d90d1555/GettyImages-471536974.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/palermo-holidays/cia-27545989,36,/hotels/search?entity_id=27545989&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T18:51:00,,
12,VERO,False,Verona,Italy,https://content.skyscnr.com/m/3da3e30063a26934/Large-GettyImages-452657391_doc.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/verona-holidays/cia-27547432,0,/hotels/search?entity_id=27547432&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
13,PISA,False,Pisa,Italy,https://content.skyscnr.com/14469415402f6651d1f8f1b3b8b483b0/GettyImages-498016949.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/pisa-holidays/cia-27546040,73,/hotels/search?entity_id=27546040&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T15:31:00,,
14,MILA,True,Milan,Italy,https://content.skyscnr.com/0f320987e189f43d5256fd38df04a977/GettyImages-461823317.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/italy/milan-holidays/cia-27544068,23,/hotels/search?entity_id=27544068&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,17.0,2021-11-10T23:47:00,2021-11-09T20:15:00,
