,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,DirectPrice,IndirectQuoteDateTime,DirectQuoteDateTime
0,TIVA,False,Tivat,Montenegro,https://content.skyscnr.com/d59e71ab895abcc7212b4920f7e8abe9/GettyImages-468534036.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/montenegro/tivat-holidays/cia-27547188,0,/hotels/search?entity_id=27547188&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
1,PODG,True,Podgorica,Montenegro,https://content.skyscnr.com/f71a8075838fbaae6be68304d1eaab4a/GettyImages-479863398.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/montenegro/podgorica-holidays/cia-27547166,24,/hotels/search?entity_id=27547166&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,19.0,2021-11-11T08:14:00,2021-11-13T07:09:00
