,Id,Direct,Name,CountryName,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime,ImageUrl,HotelPrice
0,BILL,True,Billund,Denmark,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/denmark/billund-holidays/cia-27539466,35.0,23,/hotels/search?entity_id=27539466&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T23:53:00,2021-11-09T23:53:00,,
1,COPE,False,Copenhagen,Denmark,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/denmark/copenhagen-holidays/cia-27539902,,39,/hotels/search?entity_id=27539902&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T10:01:00,,https://content.skyscnr.com/d22c8f93938b699739ba5e9d682019af/GettyImages-474603829.jpg,169.0
2,AARH,False,Aarhus,Denmark,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/denmark/aarhus-holidays/cia-27547464,,48,/hotels/search?entity_id=27547464&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T10:56:00,,https://content.skyscnr.com/m/04e36a20201a2e90/Large-aarhus-denmark.jpg,
3,AALB,False,Aalborg,Denmark,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/denmark/aalborg-holidays/cia-27536413,,149,/hotels/search?entity_id=27536413&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T15:39:00,,https://content.skyscnr.com/824c3ddb7181ae2f4769989c54fafab3/GettyImages-468149856.jpg,
