,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime
0,KIEV,True,Kyiv,Ukraine,https://content.skyscnr.com/e23a9b4c457f75b1eb59f55e6f417854/GettyImages-465324045.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/kyiv-holidays/cia-27542803,35.0,32,/hotels/search?entity_id=27542803&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T19:25:00,2021-11-12T07:48:00
1,ODES,False,Odesa,Ukraine,https://content.skyscnr.com/f1fc3926a461847759b4b110a4e832b2/GettyImages-500946307.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/odesa-holidays/cia-27545196,,0,/hotels/search?entity_id=27545196&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,
2,LVOV,True,Lviv,Ukraine,https://content.skyscnr.com/49f5362bdb8c366185ff467cb991350d/GettyImages-515245753.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/lviv-holidays/cia-27544204,27.0,27,/hotels/search?entity_id=27544204&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T13:57:00,2021-11-12T21:00:00
3,KHAR,False,Kharkiv,Ukraine,https://content.skyscnr.com/53d8f7dc24300e14d8bfa1200a98a240/GettyImages-106579726.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/kharkiv-holidays/cia-27542708,,0,/hotels/search?entity_id=27542708&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,
4,ZAPO,False,Zaporizhia,Ukraine,https://content.skyscnr.com/bb6e449856ce4c74ca0f8f4324790f75/gettyimages681948023.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/ukraine/zaporizhia-holidays/cia-44896770,,115,/hotels/search?entity_id=44896770&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T09:45:00,
