continent;country_name;country_code_iso2;region_name;city_name;city_code;city_image_url;airport_name;airport_code_IATA;airport_type;aiport_lat;airport_lon
EU;Germany;DE;Berlin;Berlin;BERL;https://content.skyscnr.com/588e330bc635d38f64eb8fe3f61d2e47/stock-photo-golden-hour-skyline-berlin-113819803.jpg;Berlin Brandenburg Airport (U.C.);BER;closed;52.35138889;13.49388889
EU;Belgium;BE;Brussels;Brussels;BRUS;https://content.skyscnr.com/7f99e0b77af76bf7e89a614cba3a1d9d/GettyImages-517851449.jpg;Brussels South Charleroi Airport;CRL;large_airport;50.459202;4.45382
EU;Germany;DE;Cologne;Cologne;COLO;https://content.skyscnr.com/6a75b2e121f555167dba8bf647cd4e93/cologne.jpg;Cologne Bonn Airport;CGN;large_airport;50.86589813;7.142739773
EU;Germany;DE;Stuttgart;Stuttgart;STUT;https://content.skyscnr.com/m/0c5081fc40bb725f/Large-GettyImages-489946082.jpg;Stuttgart Airport;STR;large_airport;48.68989944;9.221960068
EU;Germany;DE;Frankfurt;Frankfurt am Main;FRAN;https://content.skyscnr.com/e286ff180a40d9376f18c9c2b314565f/GettyImages-510973985.jpg;Frankfurt-Hahn Airport;HHN;medium_airport;49.9487;7.26389
EU;Germany;DE;Memmingen;Memmingen;MEMB;https://content.skyscnr.com/bd9a58c269dbd515bf617e222aa02e59/memmingen.jpg;Memmingen Allgau Airport;FMM;medium_airport;47.98880005;10.23950005
EU;Germany;DE;Dusseldorf;Weeze;DUSS;https://content.skyscnr.com/79e529e0b33906841f37364d885a83ee/dusseldorf-germany.jpg;Weeze Airport;NRN;medium_airport;51.60240173;6.142169952
EU;Germany;DE;Dortmund;Dortmund;DORT;https://content.skyscnr.com/3d1d174379607e5a48834b1a1cb70a72/GettyImages-531100581.jpg;Dortmund Airport;DTM;large_airport;51.5182991;7.612239838
EU;Germany;DE;Baden-Baden;Baden-Baden;BADE;https://content.skyscnr.com/063edf3feb4d83c47815645f11e5c9ea/GettyImages-480156090.jpg;Karlsruhe Baden-Baden Airport;FKB;large_airport;48.77939987;8.080499649
EU;United Kingdom;UK;Manchester;Manchester;MANC;https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg;Manchester Airport;MAN;large_airport;53.35369873;-2.274950027
EU;United Kingdom;UK;Bristol;Bristol;BRIS;https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg;Bristol Airport;BRS;large_airport;51.382702;-2.71909
EU;United Kingdom;UK;London;London;LOND;https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg;London Luton Airport;LTN;large_airport;51.87469864;-0.368333012
EU;United Kingdom;UK;London;London;LOND;https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg;London Gatwick Airport;LGW;large_airport;51.148102;-0.190278
EU;United Kingdom;UK;London;London;LOND;https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg;London Heathrow Airport;LHR;large_airport;51.4706;-0.461941
EU;United Kingdom;UK;Nottingham;Nottingham;NOTT;https://content.skyscnr.com/08b29dbfb6c59f348c6ff686b73083aa/GettyImages-121081723.jpg;East Midlands Airport;EMA;large_airport;52.83110046;-1.328060031
EU;United Kingdom;UK;Edinburgh;Edinburgh;EDIN;https://content.skyscnr.com/m/6d19e536df299d24/original/edinburgh-sailsbury.jpg;Edinburgh Airport;EDI;large_airport;55.95000076;-3.372499943
EU;United Kingdom;UK;London;London;LOND;https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg;London Stansted Airport;STN;large_airport;51.88499832;0.234999999
EU;Netherlands;NL;Eindhoven;Eindhoven;EIND;https://content.skyscnr.com/5a1e2c13c96cf32aef643dcebb73b3de/GettyImages-508786473.jpg;Eindhoven Airport;EIN;large_airport;51.45009995;5.374529839
EU;Ireland;IE;Dublin;Dublin;DUBL;https://content.skyscnr.com/34f61dd7f8deb4059c12b0b8de9ee002/GettyImages-472229890.jpg;Dublin Airport;DUB;large_airport;53.421299;-6.27007
EU;Denmark;DK;Billund;Billund;BILL;;Billund Airport;BLL;large_airport;55.74029922;9.151780128
EU;Norway;NO;Oslo;Torp;OSLO;https://content.skyscnr.com/8ab21fe9e704f373e61689e635e63c60/GettyImages-498373538.jpg;Sandefjord Airport, Torp;TRF;medium_airport;59.18669891;10.25860024
EU;Poland;PL;Krakow;Kraków;KRAK;https://content.skyscnr.com/f7f6af4f80f12335dd8b34745ce453a4/krakow.jpg;Kraków John Paul II International Airport;KRK;large_airport;50.077702;19.7848
EU;Poland;PL;Nowy Dwor Mazowiecki;Warsaw;WMIP;;Modlin Airport;WMI;large_airport;52.451099;20.6518
EU;Poland;PL;Poznan;Poznañ;POZN;https://content.skyscnr.com/25d8e7ad6875d8b3332461fb2ed6ecf9/GettyImages-122449338.jpg;Poznañ-£awica Airport;POZ;large_airport;52.42100143;16.82629967
EU;Poland;PL;Wroclaw;Wroc³aw;WROC;https://content.skyscnr.com/7387d4b223075dd116e68295d7ae2f19/GettyImages-470289252.jpg;Copernicus Wroc³aw Airport;WRO;large_airport;51.10269928;16.88579941
EU;Sweden;SE;Gothenburg;Gothenburg;GOTH;https://content.skyscnr.com/c5156abcd5921e402b9fb95ce45c4813/GettyImages-160087670.jpg;Gothenburg-Landvetter Airport;GOT;large_airport;57.66279984;12.27980042
EU;Sweden;SE;Malmo;Malmö;MALM;https://content.skyscnr.com/62e6ec87196f90c906c29496e41f5f6d/GettyImages-139465515.jpg;Malmö Sturup Airport;MMX;large_airport;55.53630536;13.37619781
EU;Latvia;LV;Riga;Riga;RIGA;https://content.skyscnr.com/de54d44c70db4a743503a0914ad532b8/GettyImages-492496777.jpg;Riga International Airport;RIX;large_airport;56.92359924;23.97109985
EU;Spain;ES;Lanzarote;Lanzarote Island;ARRE;https://content.skyscnr.com/8f05010aa03fd05aa210ab04d5edc14d/GettyImages-453466115.jpg;Lanzarote Airport;ACE;medium_airport;28.945499;-13.6052
EU;Spain;ES;Tenerife;Tenerife Island;TENE;https://content.skyscnr.com/m/5954933ffe79635b/original/eyeem-28451928-143557105.jpg;Tenerife South Airport;TFS;large_airport;28.04450035;-16.57250023
AF;Morocco;MA;Fes;Fes;FEZS;https://content.skyscnr.com/4b19700352746a7fb855fe958141736f/GettyImages-484651575.jpg;Sa?ss Airport;FEZ;medium_airport;33.9272995;-4.97796011
AF;Morocco;MA;Marrakech;Marrakech;MARR;https://content.skyscnr.com/bae843c92aa2a7255d3b044d8f50465a/GettyImages-183941001.jpg;Menara Airport;RAK;medium_airport;31.60689926;-8.036299706
EU;Albania;AL;Tirana;Tirana;TIRA;https://content.skyscnr.com/d4acb8b30e8cfcb36db339ce50fd23ae/GettyImages-485428808.jpg;Tirana International Airport Mother Teresa;TIA;large_airport;41.41469955;19.72060013
EU;Bulgaria;BG;Bourgas;Burgas;BURG;https://content.skyscnr.com/b64b2d5260f7cd2ca30207536a1b7e87/GettyImages-464037337.jpg;Burgas Airport;BOJ;large_airport;42.56959915;27.51519966
EU;Bulgaria;BG;Sofia;Sofia;SOFI;https://content.skyscnr.com/31593d990b83848a59eaa86c40d5eb24/sofia.jpg;Sofia Airport;SOF;large_airport;42.69669342;23.41143608
EU;Bulgaria;BG;Varna;Varna;VARN;https://content.skyscnr.com/071fa18c180a418f5f650a9ce5ee2300/GettyImages-462030965.jpg;Varna Airport;VAR;large_airport;43.232101;27.8251
AS;Cyprus;CY;Larnaca;Larnarca;LARN;https://content.skyscnr.com/19f19f5c154529162d48a79cfbe41dc1/GettyImages-118980041.jpg;Larnaca International Airport;LCA;large_airport;34.87509918;33.62490082
AS;Cyprus;CY;Paphos;Paphos;PAPH;https://content.skyscnr.com/0a849c421a2db497fec2f8576eb37a49/GettyImages-178526577.jpg;Paphos International Airport;PFO;large_airport;34.7179985;32.4856987
EU;Croatia;HR;Dubrovnik;Dubrovnik;DUBR;https://content.skyscnr.com/844ae2f6ebd9628b7e91219738eccb48/croatia-dubrovnik-3491.jpg;Dubrovnik Airport;DBV;medium_airport;42.56140137;18.26819992
EU;Croatia;HR;Pula;Pula;PULA;https://content.skyscnr.com/m/5bd1bed123cceb1e/original/GettyImages-450473963.jpg;Pula Airport;PUY;medium_airport;44.89350128;13.9222002
EU;Croatia;HR;Bol;Braè Island;BOLL;https://content.skyscnr.com/m/5b0e5962706c7b1f/Large-GettyImages-156940828_doc.jpg;Bol Airport;BWK;medium_airport;43.28570175;16.67970085
EU;Croatia;HR;Split;Split;SPLI;https://content.skyscnr.com/d546c6a9ef565175c15121d026cbadef/croatia-split-2498.jpg;Split Airport;SPU;medium_airport;43.53889847;16.29800034
EU;Croatia;HR;Zagreb;Zagreb;ZAGR;https://content.skyscnr.com/bdea895ca2746a767312cb9ff9ab9186/GettyImages-502736148.jpg;Zagreb Airport;ZAG;large_airport;45.74290085;16.06879997
EU;Croatia;HR;Zadar;Zemunik;ZADA;https://content.skyscnr.com/24777087c57c297affbe432734885f52/GettyImages-101093871.jpg;Zadar Airport;ZAD;medium_airport;44.108299;15.3467
EU;Spain;ES;Alicante;Alicante;ALIC;https://content.skyscnr.com/2df165e46db19d6bcbb86e556a49a1bf/alicante.jpg;Alicante International Airport;ALC;large_airport;38.28219986;-0.558156013
EU;Spain;ES;Barcelona;Barcelona;BARC;https://content.skyscnr.com/7adba3a46af3ca29695f96937d19fcf1/GettyImages-149127892.jpg;Barcelona International Airport;BCN;large_airport;41.2971;2.07846
EU;Spain;ES;Ibiza;Ibiza;IBIZ;https://content.skyscnr.com/d5a71bb9ad10ed943ce61251761be64a/GettyImages-177133241.jpg;Ibiza Airport;IBZ;medium_airport;38.8728981;1.37311995
EU;Spain;ES;Madrid;Madrid;MADR;https://content.skyscnr.com/13ce98b674f110e5466fea801ffb05bd/madrid.jpg;Adolfo Suárez Madrid–Barajas Airport;MAD;large_airport;40.471926;-3.56264
EU;Spain;ES;MÃ¡laga;Málaga;MALA;https://content.skyscnr.com/885adc49a58167bc2bfc0ec3176095d1/GettyImages-178637651.jpg;Málaga Airport;AGP;large_airport;36.67490005;-4.499110222
EU;Spain;ES;Palma;Palma De Mallorca;PALM;https://content.skyscnr.com/c643eed202678c7de51c5ed5856998e4/GettyImages-497942480.jpg;Palma De Mallorca Airport;PMI;large_airport;39.55170059;2.738810062
EU;Spain;ES;Valencia;Valencia;VALE;https://content.skyscnr.com/m/2151532d1a93105c/original/Guide-Page-Image-Valencia.JPG;Valencia Airport;VLC;medium_airport;39.4893;-0.481625
EU;Spain;ES;Seville;Sevilla;SEVI;https://content.skyscnr.com/7b3a368cac5b45d17fc01b6122cc68b0/GettyImages-536922069.jpg;Sevilla Airport;SVQ;medium_airport;37.41799927;-5.893109798
EU;France;FR;Bordeaux;Bordeaux/Mérignac;BORD;https://content.skyscnr.com/005082c7873ca4adbaefb1591707f478/GettyImages-468330194.jpg;Bordeaux-Mérignac Airport;BOD;large_airport;44.82830048;-0.715556026
EU;France;FR;Nice;Nice;NICE;https://content.skyscnr.com/m/2bdff4db01b0769f/original/GettyImages-467077004.jpg;Nice-Côte d'Azur Airport;NCE;large_airport;43.65840149;7.215869904
EU;France;FR;Paris;Beauvais/Tillé;PARI;https://content.skyscnr.com/m/37e282443afc0ff7/original/Paris-2016-10.jpg;Paris Beauvais Tillé Airport;BVA;medium_airport;49.45439911;2.112780094
EU;France;FR;Paris;Paris;PARI;https://content.skyscnr.com/m/37e282443afc0ff7/original/Paris-2016-10.jpg;Charles de Gaulle International Airport;CDG;large_airport;49.012798;2.55
EU;France;FR;Paris;Paris;PARI;https://content.skyscnr.com/m/37e282443afc0ff7/original/Paris-2016-10.jpg;Paris-Orly Airport;ORY;large_airport;48.7233333;2.3794444
EU;France;FR;Basel;Bâle/Mulhouse;BASE;https://content.skyscnr.com/6639f27bacf31c97099755cbf54bb392/GettyImages-481566200.jpg;EuroAirport Basel-Mulhouse-Freiburg Airport;BSL;large_airport;47.59;7.5291667
EU;Greece;GR;Athens;Athens;ATHE;https://content.skyscnr.com/26babb582bc1d7572fed1877d7f81fa6/GettyImages-181391203.jpg;Eleftherios Venizelos International Airport;ATH;large_airport;37.93640137;23.94449997
EU;Greece;GR;Crete;Heraklion;CRET;https://content.skyscnr.com/9e0c2b3096d0c8feafac2bf9cc31c501/crete.jpg;Heraklion International Nikos Kazantzakis Airport;HER;large_airport;35.33969879;25.18029976
EU;Greece;GR;Kos;Kos Island;KOSS;https://content.skyscnr.com/c82b38a5e328ac7475580341be7cb5e3/GettyImages-156518965.jpg;Kos Airport;KGS;medium_airport;36.79330063;27.0916996
EU;Greece;GR;Corfu;Kerkyra Island;CORF;https://content.skyscnr.com/m/184f9cd93cc464eb/Large-GettyImages-486664034.jpg;Ioannis Kapodistrias International Airport;CFU;medium_airport;39.60189819;19.9116993
EU;Greece;GR;Mykonos;Mykonos Island;MIKO;https://content.skyscnr.com/0837c6929401ed32ec1a8399768a448d/GettyImages-465970722.jpg;Mikonos Airport;JMK;medium_airport;37.43510056;25.34810066
EU;Greece;GR;Crete;Souda;CRET;https://content.skyscnr.com/9e0c2b3096d0c8feafac2bf9cc31c501/crete.jpg;Chania International Airport;CHQ;medium_airport;35.53170013;24.14970016
EU;Greece;GR;Thessaloniki;Thessaloniki;THES;https://content.skyscnr.com/c0f3616be7ab932f72a23f3507315f44/GettyImages-162545242.jpg;Thessaloniki Macedonia International Airport;SKG;large_airport;40.5196991;22.97089958
EU;Hungary;HU;Budapest;Budapest;BUDA;https://content.skyscnr.com/m/1c7b8e0703dcc64/original/Budapest-Citadella.jpg;Budapest Liszt Ferenc International Airport;BUD;large_airport;47.42976;19.261093
EU;Italy;IT;Bari;Bari;BARI;https://content.skyscnr.com/m/3930ff32e7360c83/Large-eyeem-26694340-130154301.jpg;Bari Karol Wojty³a Airport;BRI;large_airport;41.138901;16.760599
