,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectQuoteDateTime,HotelPrice
0,BASE,True,Basel,Switzerland,https://content.skyscnr.com/6639f27bacf31c97099755cbf54bb392/GettyImages-481566200.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/switzerland/basel-holidays/cia-33735926,34.0,58,/hotels/search?entity_id=33735926&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T19:15:00,2021-11-13T05:59:00,
1,GENE,False,Geneva,Switzerland,https://content.skyscnr.com/ac5054692e970b4403945168ccc6aa0c/GettyImages-96654976.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/switzerland/geneva-holidays/cia-33735985,,109,/hotels/search?entity_id=33735985&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T10:42:00,,
2,ZURI,True,Zurich,Switzerland,https://content.skyscnr.com/92ec24310bc1e0c2c5022132dd1d4d55/GettyImages-178766147.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/switzerland/zurich-holidays/cia-27537524,150.0,133,/hotels/search?entity_id=27537524&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T21:47:00,2021-11-11T20:02:00,162.0
