,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,IndirectQuoteDateTime,DirectPrice,HotelPrice,DirectQuoteDateTime
0,NORW,False,Norwich,United Kingdom,https://content.skyscnr.com/f8e82712d0035f61f9a982c84f3c8edf/GettyImages-518859051.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/norwich-holidays/cia-27545172,0,/hotels/search?entity_id=27545172&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
1,CARD,False,Cardiff,United Kingdom,https://content.skyscnr.com/3ac6ba587d62c819e80a2554c7dc3894/GettyImages-478086609.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/cardiff-holidays/cia-27540629,243,/hotels/search?entity_id=27540629&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T16:43:00,,,
2,HUMB,False,Kirmington,United Kingdom,https://content.skyscnr.com/27cca5261089a4b7fd728339076726f8/Humberside-GettyImages-640242306.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/kirmington-holidays/cia-46424749,0,/hotels/search?entity_id=46424749&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
3,SOUT,False,Southampton,United Kingdom,https://content.skyscnr.com/84734c7348f514caf9450fcb3592dfbc/GettyImages-515701085.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/southampton-holidays/cia-27547060,0,/hotels/search?entity_id=27547060&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
4,BRIS,False,Bristol,United Kingdom,https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bristol-holidays/cia-27539564,82,/hotels/search?entity_id=27539564&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T21:14:00,,,
5,NOTT,False,Nottingham,United Kingdom,https://content.skyscnr.com/08b29dbfb6c59f348c6ff686b73083aa/GettyImages-121081723.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/nottingham-holidays/cia-27548327,86,/hotels/search?entity_id=27548327&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-09T21:29:00,,,
6,MANC,True,Manchester,United Kingdom,https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/manchester-holidays/cia-27544856,24,/hotels/search?entity_id=27544856&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T15:28:00,21.0,59.0,2021-11-13T12:15:00
7,LEED,False,Leeds,United Kingdom,https://content.skyscnr.com/1ff357af8efc93f3c8c1f4a886942b5e/GettyImages-515150108.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/leeds-holidays/cia-32834087,56,/hotels/search?entity_id=32834087&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T20:48:00,,,
8,INVE,False,Inverness,United Kingdom,https://content.skyscnr.com/m/027b24d869ceca1f/original/GettyImages-100334437_doc.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/inverness-holidays/cia-27542869,0,/hotels/search?entity_id=27542869&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
9,GLAS,False,Glasgow,United Kingdom,https://content.skyscnr.com/769cd8c37b872118fc66395197b5c3e2/GettyImages-516440633.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/glasgow-holidays/cia-27541852,132,/hotels/search?entity_id=27541852&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T09:12:00,,,
10,LOND,True,London,United Kingdom,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/london-holidays/cia-27544008,24,/hotels/search?entity_id=27544008&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T12:39:00,11.0,,2021-11-11T07:31:00
11,BOUR,False,Bournemouth,United Kingdom,https://content.skyscnr.com/4561c7e0759f5d8c6761a39877f5e4c2/GettyImages-527690869.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bournemouth-holidays/cia-27539516,0,/hotels/search?entity_id=27539516&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
12,EDIN,False,Edinburgh,United Kingdom,https://content.skyscnr.com/9df58c8d6e66cd62d55c804b2d7cd22e/GettyImages-506396604.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/edinburgh-holidays/cia-27540851,42,/hotels/search?entity_id=27540851&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-13T11:34:00,,,
13,NEWC,False,Newcastle,United Kingdom,https://content.skyscnr.com/b803a8189485627a03bb3736ac7f765c/GettyImages-510958054.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newcastle-holidays/cia-27545092,0,/hotels/search?entity_id=27545092&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
14,BIRM,False,Birmingham,United Kingdom,https://content.skyscnr.com/02167c9faf5b31748675b0f2cff5ad1e/stock-photo-gas-street-basin-the-cube-97809537.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/birmingham-holidays/cia-27538786,142,/hotels/search?entity_id=27538786&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T22:58:00,,,
15,MMEA,False,Durham,United Kingdom,https://content.skyscnr.com/24cac5e0c48dadd765a8397197514cc5/GettyImages-139680538.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/durham-holidays/cia-32833958,0,/hotels/search?entity_id=32833958&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
16,LIVE,False,Liverpool,United Kingdom,https://content.skyscnr.com/4d8148466079a5be8a7417ab17bc596f/GettyImages-470715430.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/liverpool-holidays/cia-27544132,68,/hotels/search?entity_id=27544132&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-12T17:42:00,,,
17,BELF,False,Belfast,United Kingdom,https://content.skyscnr.com/ee377cc8c07596dca36a3cc28f74235f/GettyImages-116149884.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/belfast-holidays/cia-27538744,290,/hotels/search?entity_id=27538744&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-11T19:14:00,,,
18,ABER,False,Aberdeen,United Kingdom,https://content.skyscnr.com/3f4498322baca0397df716f33159a551/GettyImages-478376654.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/aberdeen-holidays/cia-27536433,162,/hotels/search?entity_id=27536433&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,2021-11-10T07:22:00,,,
