,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,HotelPrice,IndirectQuoteDateTime,DirectQuoteDateTime
0,PAPH,True,Paphos,Cyprus,https://content.skyscnr.com/0a849c421a2db497fec2f8576eb37a49/GettyImages-178526577.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/cyprus/paphos-holidays/cia-27545942,11.0,26,/hotels/search?entity_id=27545942&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,50.0,2021-11-13T16:29:00,2021-11-13T09:13:00
1,LARN,False,Larnaca,Cyprus,https://content.skyscnr.com/19f19f5c154529162d48a79cfbe41dc1/GettyImages-118980041.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/cyprus/larnaca-holidays/cia-27543994,,79,/hotels/search?entity_id=27543994&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T16:26:00,
2,ERCA,False,Tymbou,Cyprus,https://content.skyscnr.com/5847c256561211f08cdf6cfe5b3db52a/eyeem-26694340-92365225.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/cyprus/tymbou-holidays/cia-44402882,,0,/hotels/search?entity_id=44402882&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,
