,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,DirectPrice,IndirectPrice,HotelUrl,HotelPrice,IndirectQuoteDateTime,DirectQuoteDateTime
0,PODG,True,Podgorica,Montenegro,https://content.skyscnr.com/f71a8075838fbaae6be68304d1eaab4a/GettyImages-479863398.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/montenegro/podgorica-holidays/cia-27547166,19.0,30,/hotels/search?entity_id=27547166&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,43.0,2021-11-12T23:06:00,2021-11-10T14:18:00
1,TIVA,False,Tivat,Montenegro,https://content.skyscnr.com/d59e71ab895abcc7212b4920f7e8abe9/GettyImages-468534036.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/montenegro/tivat-holidays/cia-27547188,,193,/hotels/search?entity_id=27547188&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T20:11:00,
