,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,HotelPrice,IndirectQuoteDateTime,DirectPrice,DirectQuoteDateTime
0,PONT,False,Ponta Delgada,Portugal,https://content.skyscnr.com/e8703c29143c70855a00b1c7b684af24/GettyImages-480529739.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/portugal/ponta-delgada-holidays/cia-27545922,0.0,/hotels/search?entity_id=27545922&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,53.0,,,
1,FARO,False,Faro,Portugal,https://content.skyscnr.com/0262d74a01676e0d97681ec7b9987628/GettyImages-477716160.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/portugal/faro-holidays/cia-27541630,41.0,/hotels/search?entity_id=27541630&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T18:28:00,,
2,LISB,False,Lisbon,Portugal,https://content.skyscnr.com/e48dd065c801bef1b761c506a5a2fde9/GettyImages-467824014.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/portugal/lisbon-holidays/cia-27544072,41.0,/hotels/search?entity_id=27544072&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,62.0,2021-11-10T16:15:00,,
3,PORT,True,Porto,Portugal,https://content.skyscnr.com/933c6cedb8bc5ea82505271747cf3707/porto.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/portugal/porto-holidays/cia-27545236,27.0,/hotels/search?entity_id=27545236&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T11:37:00,30.0,2021-11-10T15:13:00
4,FUNC,False,Madeira,Portugal,https://content.skyscnr.com/93422020342b359d8631a00c74d34e62/GettyImages-491701960.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/portugal/madeira-holidays/cia-27536176,110.0,/hotels/search?entity_id=27536176&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T07:56:00,,
5,TERC,False,Terceira Lajes,Portugal,https://content.skyscnr.com/m/249e42ec35f560f0/original/GettyImages-178610676.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/portugal/terceira-lajes-holidays/cia-46243244,182.0,/hotels/search?entity_id=46243244&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-09T23:58:00,,
6,PICO,False,Pico Island,Portugal,https://content.skyscnr.com/m/077035c82359b7b3/original/GettyImages-480379761.jpg,,200.0,/hotels/search?entity_id=81971878&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-11T10:55:00,,
7,SANV,False,Santa Maria,Portugal,,,,/hotels/search?entity_id=81971876&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
8,HORT,False,Horta,Portugal,https://content.skyscnr.com/m/1e59bfbbd7b706b/Large-eyeem-26694340-128122353.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/portugal/horta-holidays/cia-34003840,638.0,/hotels/search?entity_id=34003840&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T11:47:00,,
